ID,이름,위도,경도,분류코드,지역코드,이미지
1,서촌친구네,37.57658905,126.9706548,1,1,"https://mp-seoul-image-production-s3.mangoplate.com/1234524_1559842607580133.jpg?fit=around%7C512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
2,아리랑,37.57653685,127.0025463,1,1,http://imgnews.naver.net/image/5002/2021/08/12/0001875704_001_20210812104802009.jpg
3,암사민물장어,37.55499163,127.1289799,1,1,https://ldb-phinf.pstatic.net/20200618_65/1592428041887aOe31_JPEG/zunr-5nng6JJKoX5GAeBmQCk.jpg
4,종로설렁탕,37.57003738,126.989781,1,1,https://d2uja84sd90jmv.cloudfront.net/posts/Ywm3DdO73AmhMmeP8dtl_A/m.jpg
5,찬양집,37.5728815,126.9902864,1,1,http://img.ezmember.co.kr/cache/board/2017/03/27/TMP_e3417f0577620c1ca3f1f28e77a59d4b.jpg
6,"꽃,밥에피다",37.57534221,126.9840397,1,1,http://post.phinf.naver.net/MjAxODA3MDNfMTA2/MDAxNTMwNTkzMTk3MTAw.TNMjQV2rP7U5Y9OSJel59bPUDaEEOlxf3CmGN3khOQEg.fg0engGfek42PmhuhTFlEsU1A-aemebyzsidw4O_ukgg.JPEG/IDnCMWx39Zv-4new3ccENp8z9AGA.jpg
7,우주정,37.48271257,126.8993362,1,1,http://tong.visitkorea.or.kr/cms/resource/01/1905001_image2_1.jpg
8,벽제갈비 방이,37.51007457,127.1261508,1,1,https://blog.kakaocdn.net/dn/cvVVgq/btq9Lp4IRWm/inrMIpQJEID385ULrLJoKk/img.jpg
9,진고개,37.56309101,126.9928031,1,1,http://storage.doopedia.co.kr/upload/_upload/jwupload/image/201310/28/20131028192701361/20131028192701361_thumb_1024.JPG
10,충남식당,37.51492339,126.9368568,1,1,"https://mp-seoul-image-production-s3.mangoplate.com/247137/571675_1626925721426_18992?fit=around%7C512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
11,[백년가게]진미옥설농탕,37.50121418,127.1092721,1,1,http://tong.visitkorea.or.kr/cms/resource/09/2616409_image2_1.JPG
12,무궁화 롯데호텔서울,37.56547943,126.9816347,1,1,http://imgnews.naver.net/image/003/2021/09/26/NISI20210926_0000834674_web_20210926111405_20210926114405415.jpg
13,맛다오리구이,37.57816969,126.9858145,1,1,"https://mp-seoul-image-production-s3.mangoplate.com/154097/qdlarf8oxiplg5.jpg?fit=around%7C512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
14,광명수산,37.50570127,126.8826676,1,1,https://ldb-phinf.pstatic.net/20170801_189/1501555273301iIzDS_JPEG/12.jpg
15,온마을,37.58672973,126.9815507,1,1,"https://mp-seoul-image-production-s3.mangoplate.com/192222_1518923059269028.jpg?fit=around%7C512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
16,원대구탕,37.53473009,126.9742362,1,1,https://igx.4sqi.net/img/general/600x600/11160405_Y-PbvQeYsaVNNZ_66ooiFdg708VjW6188I6ywrRPvWk.jpg
17,청해진,37.52831406,127.122509,1,1,https://dbscthumb-phinf.pstatic.net/2765_000_391/20220331071305869_6B0M6S0JB.jpg/8067707.jpg?type=m4500_4500_fst
18,[백년가게]청해진,37.52487843,127.1274392,1,1,http://imgnews.naver.net/image/277/2019/04/15/0004449633_001_20190415113108265.jpg
19,한방족발,37.54477299,126.9532295,1,1,https://ldb-phinf.pstatic.net/20171128_293/1511796918456lS43n_JPEG/ti6x3esWZUBfI-MTE2JIZFCP.jpg
20,명동솥뚜껑,37.56447404,126.9845983,1,1,https://ldb-phinf.pstatic.net/20201029_117/16039601572421dOhV_JPEG/SvfnDJWFzjXHt8eVTdpX5C1W.jpg
21,한쿡 N서울타워,37.55110899,126.9878984,1,1,http://imgnews.naver.net/image/029/2020/10/19/0002630724_001_20201019083243824.jpg
22,자하손만두,37.5931176,126.9660047,1,1,http://imgnews.naver.net/image/5415/2018/03/03/0000079666_001_20180303215341990.jpg
23,곰국시집 명동,37.56307422,126.9855927,1,1,http://post.phinf.naver.net/MjAxNjEyMDhfMTE4/MDAxNDgxMTY5NDUyNzA5.uCMvYDPgXC9ay7fiRlz2J8FXPfWLjEElnJyBLxbC4HMg.Eu18qMNT-b_qiFs-8ECiXtlqp5XBzEGiLpuct0KzI1cg.JPEG/I9ow6qHPVUF0vVmd4orpo6RXiP4o.jpg
24,[백년가게]선동보리밥,37.59477349,126.9951659,1,1,http://imgnews.naver.net/image/011/2020/06/11/0003752113_001_20200611154401711.jpg
25,원곱창,37.57634741,126.9705937,1,1,https://d2uja84sd90jmv.cloudfront.net/posts/_2FtKlK8tJaDVdorl1Us3Q/m.jpg
26,서촌돌솥,37.57889157,126.9712047,1,1,https://ldb-phinf.pstatic.net/20150901_166/1441062084948zv1SM_JPEG/33562322_2.jpg
27,우리집떡볶이,37.56265813,127.0149234,1,1,https://mp-seoul-image-production-s3.mangoplate.com/1640124_1626737622340053.jpg
