ID,지역코드,이름,주소,위도,경도,개요,영업시간,대표메뉴,이미지
1,1,서촌친구네,,37.57658905,126.9706548,,,,"https://mp-seoul-image-production-s3.mangoplate.com/1234524_1559842607580133.jpg?fit=around%7C512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
2,1,아리랑,,37.57653685,127.0025463,,,,http://post.phinf.naver.net/MjAyMjA4MDlfMzMg/MDAxNjYwMDE4OTY4NTc4.51BkJW5igAC_t44uwj53xPI0A6rjpSQSou00kX0MwGog.kFaZrJY4vYLF6Q5O52J1V9_ZlTLvTdMs8HTjsy0Nj9Yg.JPEG/Ia0ha1lg0U65HEKCBgQY3_zt-I6c.jpg
3,1,암사민물장어,,37.55499163,127.1289799,,,,https://ldb-phinf.pstatic.net/20200618_65/1592428041887aOe31_JPEG/zunr-5nng6JJKoX5GAeBmQCk.jpg
4,1,종로설렁탕,,37.57003738,126.989781,,,,https://d2uja84sd90jmv.cloudfront.net/posts/Ywm3DdO73AmhMmeP8dtl_A/m.jpg
5,1,찬양집,,37.5728815,126.9902864,,,,http://img.ezmember.co.kr/cache/board/2017/03/27/TMP_e3417f0577620c1ca3f1f28e77a59d4b.jpg
6,1,"꽃,밥에피다",,37.57534221,126.9840397,,,,http://post.phinf.naver.net/MjAxODA3MDNfMTA2/MDAxNTMwNTkzMTk3MTAw.TNMjQV2rP7U5Y9OSJel59bPUDaEEOlxf3CmGN3khOQEg.fg0engGfek42PmhuhTFlEsU1A-aemebyzsidw4O_ukgg.JPEG/IDnCMWx39Zv-4new3ccENp8z9AGA.jpg
7,1,우주정,,37.48271257,126.8993362,,,,http://tong.visitkorea.or.kr/cms/resource/01/1905001_image2_1.jpg
8,1,벽제갈비 방이,,37.51007457,127.1261508,,,,https://blog.kakaocdn.net/dn/cvVVgq/btq9Lp4IRWm/inrMIpQJEID385ULrLJoKk/img.jpg
9,1,진고개,,37.56309101,126.9928031,,,,http://storage.doopedia.co.kr/upload/_upload/jwupload/image/201310/28/20131028192701361/20131028192701361_thumb_1024.JPG
10,1,충남식당,,37.51492339,126.9368568,,,,"https://mp-seoul-image-production-s3.mangoplate.com/247137/571675_1626925721426_18992?fit=around%7C512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
11,1,[백년가게]진미옥설농탕,,37.50121418,127.1092721,,,,http://tong.visitkorea.or.kr/cms/resource/09/2616409_image2_1.JPG
12,1,무궁화 롯데호텔서울,,37.56547943,126.9816347,,,,http://imgnews.naver.net/image/003/2021/09/26/NISI20210926_0000834674_web_20210926111405_20210926114405415.jpg
13,1,맛다오리구이,,37.57816969,126.9858145,,,,"https://mp-seoul-image-production-s3.mangoplate.com/154097/qdlarf8oxiplg5.jpg?fit=around%7C512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
14,1,광명수산,,37.50570127,126.8826676,,,,https://ldb-phinf.pstatic.net/20170801_189/1501555273301iIzDS_JPEG/12.jpg
15,1,온마을,,37.58672973,126.9815507,,,,"https://mp-seoul-image-production-s3.mangoplate.com/192222_1518923059269028.jpg?fit=around%7C512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
16,1,원대구탕,,37.53473009,126.9742362,,,,https://igx.4sqi.net/img/general/600x600/11160405_Y-PbvQeYsaVNNZ_66ooiFdg708VjW6188I6ywrRPvWk.jpg
17,1,청해진,,37.52831406,127.122509,,,,https://dbscthumb-phinf.pstatic.net/2765_000_391/20220324071414187_95PB3643O.jpg/8067702.jpg?type=m4500_4500_fst
18,1,[백년가게]청해진,,37.52487843,127.1274392,,,,http://imgnews.naver.net/image/277/2019/04/15/0004449633_001_20190415113108265.jpg
19,1,한방족발,,37.54477299,126.9532295,,,,https://ldb-phinf.pstatic.net/20171128_293/1511796918456lS43n_JPEG/ti6x3esWZUBfI-MTE2JIZFCP.jpg
20,1,명동솥뚜껑,,37.56447404,126.9845983,,,,https://ldb-phinf.pstatic.net/20201029_117/16039601572421dOhV_JPEG/SvfnDJWFzjXHt8eVTdpX5C1W.jpg
21,1,한쿡 N서울타워,,37.55110899,126.9878984,,,,http://imgnews.naver.net/image/029/2020/10/19/0002630724_001_20201019083243824.jpg
22,1,자하손만두,,37.5931176,126.9660047,,,,http://imgnews.naver.net/image/5415/2018/03/03/0000079666_001_20180303215341990.jpg
23,1,곰국시집 명동,,37.56307422,126.9855927,,,,http://post.phinf.naver.net/MjAxNjEyMDhfMTE4/MDAxNDgxMTY5NDUyNzA5.uCMvYDPgXC9ay7fiRlz2J8FXPfWLjEElnJyBLxbC4HMg.Eu18qMNT-b_qiFs-8ECiXtlqp5XBzEGiLpuct0KzI1cg.JPEG/I9ow6qHPVUF0vVmd4orpo6RXiP4o.jpg
24,1,[백년가게]선동보리밥,,37.59477349,126.9951659,,,,http://imgnews.naver.net/image/011/2020/06/11/0003752113_001_20200611154401711.jpg
25,1,원곱창,,37.57634741,126.9705937,,,,https://d2uja84sd90jmv.cloudfront.net/posts/_2FtKlK8tJaDVdorl1Us3Q/m.jpg
